Report Id,Policy Regime,Financial period start date,Start date,End date,Filing date,Company,Company number,Qualifying contracts in reporting period,Payments made in reporting period,Qualifying construction contracts in reporting period,Construction contracts have retention clauses,Average time to pay,Total value invoices paid within 30 days,Total value invoices paid between 31 and 60 days,Total value invoices paid later than 60 days,% Invoices paid within 30 days,% Invoices paid between 31 and 60 days,% Invoices paid later than 60 days,Total value invoices paid later than agreed terms,% Invoices not paid within agreed terms,% Invoices not paid due to dispute,Shortest (or only) standard payment period,Longest standard payment period,Standard payment terms,Payment terms have changed,Suppliers notified of changes,Maximum contractual payment period,Maximum contractual payment period information,Other information payment terms,Retention clauses included in all construction contracts,Retention clauses included in standard payment terms,Retention clauses are used in specific circumstances,Description of specific circumstances for retention clauses,Retention clauses used above a specific sum,Value above which retention clauses are used,Retention clauses are at a standard rate,Retention clauses standard rate percentage,Retention clauses have parity with client,Description of parity policy,Retention clause money release description,Retention clause money release is staged,Description of stages for money release,Retention value compared to client retentions as %,Retention value compared to total payments as %,Dispute resolution process,Participates in payment codes,E-Invoicing offered,Supply-chain financing offered,Policy covers charges for remaining on supplier list,Charges have been made for remaining on supplier list,URL
12,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,SPIRIT PUB COMPANY (SERVICES) LIMITED,05266811,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,Standard payment terms are 60 days following the end of the month of the invoice date.,,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/12
13,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,SPIRIT PUB COMPANY (SUPPLY) LIMITED,04341771,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,Standard payment terms are 60 days following the end of the month of the invoice date.,,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/13
14,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,GREENE KING RETAIL SERVICES LIMITED,03324496,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,"Standard payment terms are 60 days following the end of the month of the invoice date.
",,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/14
15,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,GREENE KING SERVICES LIMITED,03324493,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,Standard payment terms are 60 days following the end of the month of the invoice date.,,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/15
16,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,PREMIUM DINING RESTAURANTS AND PUBS LIMITED,SC181811,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,Standard payment terms are 60 days following the end of the month of the invoice date.,,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/16
17,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,GREENE KING RETAILING LIMITED,05265451,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,Standard payment terms are 60 days following the end of the month of the invoice date.,,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/17
18,Regime-1,None,5/1/2017,10/31/2017,11/14/2017,GREENE KING BREWING AND RETAILING LIMITED,03298903,TRUE,FALSE,FALSE,FALSE,40,,,,34,51,15,0,10,0,60,,Standard payment terms are 60 days following the end of the month of the invoice date.,,,230,"Maximum contractual payment terms, applied to only 3 invoices totalling £124 in the period, were 230 days following the end of the month of the invoice date.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The Greene King group has a dedicated accounts payable helpdesk that offers suppliers support through to query resolution.  The team can be contacted by email or phone Monday to Friday. Contact by e-mail is acknowledged within a maximum of 2 working days with all supplier queries being assigned a unique case number. The majority of phone calls are answered immediately.

Greene King offers a supplier payment portal to allow suppliers to monitor and view all their account information, providing real time data that includes invoice approval and invoice payment status.
",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/18
19,Regime-1,None,5/1/2017,10/31/2017,11/15/2017,SMITH & WILLIAMSON INVESTMENT MANAGEMENT LLP,OC369632,TRUE,FALSE,FALSE,FALSE,15,,,,100,0,0,0,0,0,30,,Firm policy is to pay suppliers within the agreed credit terms of 30 days. Minor payment delays may occur if the invoice is received shortly after the weekly payment run. Disputed amounts may also result in processing delays. There is no stipulated maximum contractual payment period.,,,30,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"Any payment disputes are considered by the relevant department head and, if necessary, the Group Financial Controller. Disputes are usually resolved within 30 days.",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/19
20,Regime-1,None,5/1/2017,10/31/2017,11/15/2017,SMITH & WILLIAMSON LLP,OC369631,TRUE,FALSE,FALSE,FALSE,34,,,,62,33,5,0,38,0,30,,Firm policy is to pay suppliers within the agreed credit terms of 30 days. Minor payment delays may occur if the invoice is received shortly after the weekly payment run. Disputed amounts may also result in processing delays. There is no stipulated maximum contractual payment period.,,,30,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"Any payment disputes are considered by the relevant department head and, if necessary, the Group Financial Controller. Disputes are usually resolved within 30 days from the date the dispute was raised.",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/20
21,Regime-1,None,5/1/2017,10/31/2017,11/15/2017,SMITH & WILLIAMSON CORPORATE SERVICES LIMITED,03120999,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,https://check-payment-practices.service.gov.uk/report/21
22,Regime-1,None,5/1/2017,10/31/2017,11/16/2017,TAYLOR WESSING SERVICES LIMITED,07466427,TRUE,FALSE,FALSE,FALSE,26,,,,76,19,5,0,24,0,30,,Suppliers of goods and services to the Firm are offered 30 day payment terms and their invoices included in a fortnightly payment run as they fall due.  ,,,30,"Suppliers of specialist legal advice undertaken on behalf of our clients are treated differently.  They are paid as soon as the cash is received from our client, which is often on completion of a transaction. Therefore the period of time to pay an invoice from a specialist legal adviser can often be greater than the standard 30 days.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"Any complaints should be submitted to the Taylor Wessing member of staff managing the contract, who may involve their director or team leader as necessary. If there is any further dispute, this would be escalated and referred to the Senior In-House Counsel.",No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/22
23,Regime-1,None,5/1/2017,10/31/2017,11/16/2017,JOHN WILEY & SONS LIMITED,00641132,TRUE,FALSE,FALSE,FALSE,37,,,,67,22,11,0,55,0,1,90,Our most standard payment terms is 30 days,,,60,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"All our suppliers have clear contact details for our Accounts Payable team, so if they have any disputes or complaints they can contact the company by either email or phone. The company makes every effort to resolve disputes or complaints as quickly as possible.",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/23
24,Regime-1,None,5/1/2017,10/31/2017,11/17/2017,T & E FERRIS LIMITED,06941388,TRUE,FALSE,FALSE,FALSE,21,,,,85,14,1,0,0,0,14,30,30 Days,,,60,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"Supplier makes contact with Finance team using email accountspayable@swaguk.co.uk
If query can't be resolved by Finance team then escalated to Financial Controller Mandy Petitt (mandy@swaguk.co.uk)",No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/24
25,Regime-1,None,5/1/2017,10/31/2017,11/20/2017,ELEKTA LIMITED,03244454,TRUE,FALSE,FALSE,FALSE,59,,,,16,47,37,0,49,0,1,110,"45 days for indirect spend
75 days for direct spend",,,110,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"- Raise the issue with the supplier (person responsible for the purchase)
- Pay the invoice when the issue is resolved; or
- Process the credit note when the issue is resolved.",No,TRUE,TRUE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/25
26,Regime-1,None,5/1/2017,10/31/2017,11/20/2017,CORNEY AND BARROW LIMITED,02296476,TRUE,FALSE,FALSE,FALSE,29,,,,59,37,4,0,22,0,30,90,"With the exception of broking transactions, Corney and Barrow Ltd does not have standard payment terms. Differing payment terms are agreed as between UK and overseas suppliers during the course of contractual negotiations.

It should be noted that, in the case of broking transactions, 30 days payment terms means payment will be made in the week in which the 30 day period falls. Therefore payment could be upto 34 days from the date of the broking sales advice but still be within agreed terms. If the 30 day period was strictly applied, amounts due but not paid within agreed terms would rise from 22% to 42%.",,,259,"The 259 day payment period was for an overseas supplier that sets a due date for payment on a pro-forma invoice to coincide with delivery of the wine to the UK. However, this period is not a ""standard period"" imposed by Corney and Barrow.     ",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,Disputes would be resolved between the member of Corney and Barrow's buying team and his/her counterpart at the supplier. ,No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/26
27,Regime-1,None,5/1/2017,10/31/2017,11/21/2017,CAPSTICKS SOLICITORS LLP,OC340360,TRUE,FALSE,FALSE,FALSE,44,,,,53,27,20,0,20,0,30,,"Capsticks Solicitors LLP negotiates and agrees payment terms with suppliers as necessary. Our general terms are to settle all valid invoices within 30 days although this can be dependent upon the nature of the goods / services being supplied. 
A significant proportion of payments relate to third party disbursements which are settled in accordance with the terms set out by the Solicitors Regulatory Authority ie within two days of receipt of the funds from our client.
",,,30,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,Any disagreements with amounts invoiced by suppliers will be raised by the senior individual responsible for the expenditure. Complaints by suppliers should be directed in the first instance to the individual responsible for the expenditure or their head of department. Should the matter remain unresolved this may be escalated to a senior partner.,No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/27
28,Regime-1,None,5/1/2017,10/31/2017,11/22/2017,BESPAK EUROPE LIMITED,03515896,TRUE,FALSE,FALSE,FALSE,56,,,,20,55,25,0,31,0,0,120,"Standard payment terms are 60 days following the end of the month of the date of the invoice, however, specific terms are negotiated depending on the commercial situation. 
http://www.bespak.com/wp-content/uploads/2017/05/Bespak-Terms-and-Conditions-of-Purchase-1.03.17.pdf",,,90,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"In the first instance disputes will be dealt with by the individuals responsible for the supply agreement, with support from the Head of Department and Finance. Failure to meet resolution will be escalated to the Finance Director. ",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/28
29,Regime-1,None,5/1/2017,10/31/2017,11/22/2017,SHOOSMITHS LLP,OC374987,TRUE,FALSE,FALSE,FALSE,30,,,,67,19,14,0,23,0,45,90,"Shoosmiths Group have, what the firm believes to be, fair and reasonable payment practices and an established standard payment term of 45 days from date of invoice.",,,90,"Shoosmiths Group maximum payment term is 90 days, however there are certain services supplied to the firm, where the payment is dependent on the outcome of a legal matter.",,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"Shoosmiths Group's process of dealing with potential queries begins by contracting our representative who originally approved the service or goods to be provided. In addition, our Accounts Payable Department can assist by email or phone, please refer to the contact details below:
Accounts Payable Department - accountspayablequerysection@shoosmiths.co.uk, Phone 03700 863160
Should your query still not be resolved, it will be referred to our Finance Director for further consideration.",No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/29
30,Regime-1,None,5/1/2017,10/30/2017,11/22/2017,THE BENRIACH DISTILLERY COMPANY LIMITED,SC258480,TRUE,FALSE,FALSE,FALSE,36,,,,46,45,9,0,33,0,14,60,No Standard payment terms. Negotiated supplier by supplier.,,,60,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,First contact is with accounts payable who will identify the vendor problem. They will then identify the person on the company who will be able to resolve the problem. Vendor is then contacted to discuss the offered resolution.,No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/30
31,Regime-1,None,4/24/2017,10/23/2017,11/22/2017,WAGAMAMA LIMITED,02605751,TRUE,FALSE,FALSE,FALSE,45,,,,15,79,6,0,17,0,31,61,"Wagamama Limited, as standard, pays all its suppliers and distributors no later than the last day of the month following the month in which the relevant undisputed invoice is received by Wagamama i.e. between 31 and 61 days from receipt.

Variations to these standard payment terms are by exception only, and only applied when negotiated and agreed by both parties.
",,,61,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"If at any time any question, dispute or difference arises between Wagamama and its supplier or distributor, typically under contract the parties are obliged to escalate the dispute to senior representatives of the parties who shall use their reasonable endeavours to resolve the dispute in good faith within 30 days of the date on which such dispute was referred to them. For Wagamama, the escalation point would be the current Procurement Director.",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/31
32,Regime-1,None,4/24/2017,10/23/2017,11/22/2017,MABEL TOPCO LIMITED,07556481,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,https://check-payment-practices.service.gov.uk/report/32
33,Regime-1,None,5/1/2017,10/31/2017,11/22/2017,GARDINER & THEOBALD LLP,OC307124,TRUE,FALSE,FALSE,FALSE,22,,,,82,12,6,0,18,0,30,,G&T aim to pay all approved invoices within payment terms,,,49,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,G&T aim to deal with any dispute directly with our supplier.  Where a dispute is unable to be resolved then G&T is members of RICS and have agreed to their dispute resolution service.,No,FALSE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/33
34,Regime-1,None,5/1/2017,10/31/2017,11/22/2017,GARDINER & THEOBALD CEE LIMITED,05226814,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,https://check-payment-practices.service.gov.uk/report/34
35,Regime-1,None,5/1/2017,10/31/2017,11/22/2017,GARDINER & THEOBALD HOLDINGS LIMITED,02049317,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,https://check-payment-practices.service.gov.uk/report/35
36,Regime-1,None,5/1/2017,10/31/2017,11/22/2017,GARDINER & THEOBALD CONSTRUCTION MANAGEMENT LIMITED,02471174,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,https://check-payment-practices.service.gov.uk/report/36
37,Regime-1,None,5/1/2017,10/31/2017,11/23/2017,JACK SEALEY LIMITED,01329173,TRUE,FALSE,FALSE,FALSE,38,,,,28,67,6,0,3,0,0,75,30 days end of month,,,90,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,,FALSE,,,,"The invoice is passed to the person authorised to accept or reject the invoice.  In the case of a dispute that person will contact the supplier usually by email to raise the query.  The supplier and the authorising person will sort out the dispute and a credit note may be issued.  The invoice will then be cleared for payment.  If the dispute is unresolved or a complaint arises, the supplier should then contact the person (buyer) within the company who originated the order for the supply of those goods or services under dispute.",No,TRUE,FALSE,FALSE,FALSE,https://check-payment-practices.service.gov.uk/report/37
